area,programa,nombre,eje,tipo,es_obra,estado_general,fecha_ultima_actualizacion,observaciones
Ambiente,,Ambiente+ TYP,Puntual,Servicio,false,vigente,2026-04-25,"Pendiente coordinación de reunion entre Nahuel Vitacovisch y Hernan Lorenzo, para armar un taller de reparacion de luminaria"
Ambiente,Plan de Alumbrado,Cementerio,POA,Servicio,false,vigente,2026-03-06,"Remoción de farolas antiguas || 1era y 2da semana, inicia el 13/03"
Ambiente,Intervenciones Alumbrado,Colocacion de tags,POA,Servicio,false,vigente,2026-04-06,Planificado colocacion en Alvear y el Norte
Ambiente,Plan de Alumbrado,Colocación columnas,POA,Servicio,false,vigente,2026-03-06,Columnas en puntos extraídos por Telecom || inicia el 27/03
Ambiente,Plan de Alumbrado,Columnas de Senador Ferro,POA,Servicio,false,vigente,2026-03-06,"Mantenimiento de pintura en columnas || 16 cuadras ||2da semana, inicia el 13/03"
Ambiente,Plan de poda,Diag. Stephenson - Pres. Kennedy,POA,Servicio,false,vigente,2026-03-06,Inicia el 24/04
Ambiente,Plan de poda,Guemes,POA,Servicio,false,vigente,2026-03-06,Poda de sendero || 03-04 al 17-04
Ambiente,Plan de poda,Intendente Ramón Landín,POA,Servicio,false,vigente,2026-03-06,Poda de sendero || 02-03 al 23-03
Ambiente,Intervenciones Alumbrado,Intervenciones Alumbrado,POA,Servicio,false,vigente,2026-08-17,Pendiente stock: Renovacion Antartida || Repotenciacion y colocacion nuevas columnas Cementerio Corredores seguros || Sin planificar MT Alvear || Colocación de columnas Plaza Eucaliptus Pluviometro Alimentacion Esperanza
Ambiente,Plan de mantenimiento y mejoramiento de Pluviales,Intervenciones en sumideros,POA,Servicio,false,vigente,2026-03-30,Frenado
Ambiente,Intervenciones Alumbrado,Mantenimiento de columnas,POA,Servicio,false,vigente,2026-08-17,Son 90 por mes aprox. Armando mapa de columnas a pintar. Se esta pintando en: Desde San Eduardo h/ Lanzavechia AV. America Alvear Rivadavia Modernizacion del cementerio
Ambiente,Plan de poda,Miguel Angel,POA,Servicio,false,vigente,2026-03-06,Poda de sendero || 02-03 al 23-03
Ambiente,Plan de Alumbrado,Plan de Alumbrado,POA,Servicio,false,vigente,2026-03-16,"En ejecución: Colocación columnas - Columnas en puntos extraídos por Telecom || inicia el 27/03 TAGS - Mantenimiento de pintura en columnas || 16 cuadras ||2da semana, inicia el 13/03 Mantenimiento de pintura en Senador Ferro - Columna 9m. cableado"
Ambiente,Plan de mantenimiento y mejoramiento de Pluviales,Plan de mantenimiento y mejoramiento de Pluviales,POA,Servicio,false,vigente,2026-03-16,Sin novedades
Ambiente,,Plantación de nativas,Puntual,Servicio,false,vigente,2026-08-17,Pendiente habla con Lore para sacar el contenedor
Ambiente,Plan de poda,Plaza Alianza,POA,Servicio,false,vigente,2026-03-06,Inicia el 24/04
Ambiente,Plan de poda,Plaza Las Palmeras,POA,Servicio,false,vigente,2026-03-06,Inicia el 17/04
Ambiente,Plan de poda,Plaza Longo,POA,Servicio,false,vigente,2026-03-06,Inicia el 17/04
Ambiente,Plan de poda,Plaza Padre Elizalde,POA,Servicio,false,vigente,2026-03-06,Poda General. Inicia el 10/04
Ambiente,Plan de poda,Plaza Pineral,POA,Servicio,false,vigente,2026-03-06,Poda general || inicia el 23/03
Ambiente,Plan de Alumbrado,Plaza el gaucho,POA,Servicio,false,vigente,2026-03-06,"Aéreo y soterrado || 2da, 3era y 4ta semana, inicia el 27/03"
Ambiente,Plan de poda,Plazoleta Lola Mora,POA,Servicio,false,vigente,2026-03-06,Inicia el 16/03
Ambiente,Plan de poda,Poda Caseros   Poligono 1,POA,Servicio,false,vigente,2026-03-06,Poda general || 02-03 al 16-03
