area,nombre,eje,ultima_carga,ultimo_comentario
Obras,Metrobus,POA,,
Obras,Obra Plaza Artilleros,POA,2026-02-12,"Obra lista, aguardando cartelería"
Obras,Obra Plaza Beltran,POA,2026-02-14,AVERIGUAR
Obras,Obra Plaza El Campito,POA,2026-02-13,Pendiente licitar
Obras,Obra Plaza Miguel Benitez,POA,2026-02-22,Aguardando cartelería
Obras,Obra Plaza Villa Parque,POA,2026-02-23,Pendiente licitar
Obras,Obras en Espacios Verdes,POA,2026-02-26,Obras planificadas: El Campito Villa Parque
Obras,Plaza Artilleros,POA,,
Obras,Plaza Beltran,POA,2026-02-05,
Obras,Zoonosis,POA,2026-03-04,Poda y cierre de techo
