id_legible,area,programa,nombre,eje,tipo,es_obra,estado_portal,estado_general,estado_en_el_sheet,prioridad,fecha_ultima_carga,fecha_inicio,fecha_fin_proyectada,unidad,objetivo,avance,observaciones,cargas_en_el_cualitativo
AMB-2026-002,Secretaría de Ambiente y Servicios Públicos,Mantenimiento de Espacios Verdes,Plan de forestación,POA,Servicio,false,finalizado,finalizado,Finalizado,,2026-08-17,,,,,,Trabajos ejecutados semana anterior Paseo de los granaderos | Finaliza el 05/06 Alvear | Finaliza el 05/06 Ingreso del CEA | Finaliza el 05/06 Manzanares | Finaliza el 05/06 Olavarria y Parodi: Pendiente intervencion de Roco,60
AMB-2026-009,Secretaría de Ambiente y Servicios Públicos,Plan de Alumbrado,2da etapa plafones,POA,Servicio,false,finalizado,finalizado,Finalizado,,2026-03-06,,,,,,Colocación de plafones || 48 unidades ||,1
AMB-2026-010,Secretaría de Ambiente y Servicios Públicos,Plan de Alumbrado,Buzones en plaza,POA,Servicio,false,finalizado,finalizado,Finalizado,,2026-03-06,,,,,,Buzones de bajada para feriantes || 6 unidades,1
AMB-2026-011,Secretaría de Ambiente y Servicios Públicos,Plan de Alumbrado,Cementerio,POA,Servicio,false,planificado,vigente,Pendiente,,2026-03-06,,,,,,"Remoción de farolas antiguas || 1era y 2da semana, inicia el 13/03 Estado real en el sheet: ""Pendiente"".",1
AMB-2026-012,Secretaría de Ambiente y Servicios Públicos,Plan de Alumbrado,Colocación columnas,POA,Servicio,false,planificado,vigente,Pendiente,,2026-03-06,,,,,,"Columnas en puntos extraídos por Telecom || inicia el 27/03 Estado real en el sheet: ""Pendiente"".",1
AMB-2026-013,Secretaría de Ambiente y Servicios Públicos,Plan de Alumbrado,Columnas de Senador Ferro,POA,Servicio,false,planificado,vigente,Pendiente,,2026-03-06,,,,,,"Mantenimiento de pintura en columnas || 16 cuadras ||2da semana, inicia el 13/03 Estado real en el sheet: ""Pendiente"".",1
AMB-2026-015,Secretaría de Ambiente y Servicios Públicos,Plan de Alumbrado,Estacion Fernandez Moreno,POA,Servicio,false,finalizado,finalizado,Finalizado,,2026-03-06,,,,,,"Estacion Fernandez Moreno, colocación de farolas y recambio de led",1
AMB-2026-005,Secretaría de Ambiente y Servicios Públicos,Plan de Alumbrado,Plan de Alumbrado,POA,Servicio,false,en ejecución,vigente,En ejecución,,2026-03-16,,,,,,"En ejecución: Colocación columnas - Columnas en puntos extraídos por Telecom || inicia el 27/03 TAGS - Mantenimiento de pintura en columnas || 16 cuadras ||2da semana, inicia el 13/03 Mantenimiento de pintura en Senador Ferro - Columna 9m. cableado",3
AMB-2026-025,Secretaría de Ambiente y Servicios Públicos,Plan de Alumbrado,Plaza el gaucho,POA,Servicio,false,planificado,vigente,Pendiente,,2026-03-06,,,,,,"Aéreo y soterrado || 2da, 3era y 4ta semana, inicia el 27/03 Estado real en el sheet: ""Pendiente"".",1
AMB-2026-030,Secretaría de Ambiente y Servicios Públicos,Plan de Alumbrado,Renovación bradley,POA,Servicio,false,finalizado,finalizado,Finalizado,,2026-03-06,,,,,,Repotenciación y colocacion nuevas columnas || 66 unidades,1
AMB-2026-003,Secretaría de Ambiente y Servicios Públicos,Plan de mantenimiento y mejoramiento de Pluviales,Intervenciones en sumideros,POA,Servicio,false,demorado,vigente,Alerta,,2026-03-30,,,,,,"Frenado Estado real en el sheet: ""Alerta"".",5
AMB-2026-006,Secretaría de Ambiente y Servicios Públicos,Plan de mantenimiento y mejoramiento de Pluviales,Plan de mantenimiento y mejoramiento de Pluviales,POA,Servicio,false,planificado,vigente,Pendiente,,2026-03-16,,,,,,"Sin novedades Estado real en el sheet: ""Pendiente"".",3
AMB-2026-014,Secretaría de Ambiente y Servicios Públicos,Plan de poda,Diag. Stephenson - Pres. Kennedy,POA,Servicio,false,planificado,vigente,Pendiente,,2026-03-06,,,,,,"Inicia el 24/04 Estado real en el sheet: ""Pendiente"".",1
AMB-2026-016,Secretaría de Ambiente y Servicios Públicos,Plan de poda,Guemes,POA,Servicio,false,planificado,vigente,Pendiente,,2026-03-06,,,,,,"Poda de sendero || 03-04 al 17-04 Estado real en el sheet: ""Pendiente"".",1
